category,product_name,product_code,description,pricing_model,unit_price,unit_basis,tier_min_ees,tier_max_ees,monthly_minimum,one_time_fee,setup_fee,billing_frequency,required_dependencies,conditions,effective_date,source_file,source_page
"RM","Additional Paygroups Setup fee","0","It's a one-time charge for setting up a new pay schedule for a group of your employees. For example, if you have one group of employees paid every two weeks and another group you want to pay monthly, this fee covers the technical work needed to create that second group in the system and make sure their payroll is processed correctly on a different schedule.","One-Time (Fixed)","N/A","Fixed","1","50","N/A","$800.00","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 1 of 413"
"RM","Additional Paygroups Setup fee","0","It's a one-time charge for setting up a new pay schedule for a group of your employees. For example, if you have one group of employees paid every two weeks and another group you want to pay monthly, this fee covers the technical work needed to create that second group in the system and make sure their payroll is processed correctly on a different schedule.","One-Time (Fixed)","N/A","Fixed","51","100","N/A","$1,000.00","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 2 of 413"
"RM","Additional Paygroups Setup fee","0","It's a one-time charge for setting up a new pay schedule for a group of your employees. For example, if you have one group of employees paid every two weeks and another group you want to pay monthly, this fee covers the technical work needed to create that second group in the system and make sure their payroll is processed correctly on a different schedule.","One-Time (Fixed)","N/A","Fixed","101","250","N/A","$1,250.00","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 3 of 413"
"RM","Additional Paygroups Setup fee","0","It's a one-time charge for setting up a new pay schedule for a group of your employees. For example, if you have one group of employees paid every two weeks and another group you want to pay monthly, this fee covers the technical work needed to create that second group in the system and make sure their payroll is processed correctly on a different schedule.","One-Time (Fixed)","N/A","Fixed","251","500","N/A","$1,500.00","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 4 of 413"
"RM","Additional Paygroups Setup fee","0","It's a one-time charge for setting up a new pay schedule for a group of your employees. For example, if you have one group of employees paid every two weeks and another group you want to pay monthly, this fee covers the technical work needed to create that second group in the system and make sure their payroll is processed correctly on a different schedule.","One-Time (Fixed)","N/A","Fixed","501","1000","N/A","$1,750.00","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 5 of 413"
"RM","Additional Paygroups Setup fee","0","It's a one-time charge for setting up a new pay schedule for a group of your employees. For example, if you have one group of employees paid every two weeks and another group you want to pay monthly, this fee covers the technical work needed to create that second group in the system and make sure their payroll is processed correctly on a different schedule.","One-Time (Fixed)","N/A","Fixed","1001","2000","N/A","$2,000.00","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 6 of 413"
"RM","Additional Paygroups Setup fee","0","It's a one-time charge for setting up a new pay schedule for a group of your employees. For example, if you have one group of employees paid every two weeks and another group you want to pay monthly, this fee covers the technical work needed to create that second group in the system and make sure their payroll is processed correctly on a different schedule.","One-Time (Fixed)","N/A","Fixed","2000","no maximum","N/A","$4,000.00","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 7 of 413"
"RM","Additonal Paygroups Setup fee -1099 contractor Pay Groups","0","Pay Groups- COR only Just Payroll or Payroll+HR","One-Time (Fixed)","N/A","Fixed","1","100","N/A","$400.00","N/A","N/A","N/A","First Notes: Pay Groups- COR only Just Payroll or Payroll+HR","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 8 of 413"
"RM","Additonal Paygroups Setup fee -1099 contractor Pay Groups","0","Pay Groups- COR only Just Payroll or Payroll+HR","One-Time (Fixed)","N/A","Fixed","101","250","N/A","$600.00","N/A","N/A","N/A","First Notes: Pay Groups- COR only Just Payroll or Payroll+HR","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 9 of 413"
"RM","Additonal Paygroups Setup fee -1099 contractor Pay Groups","0","Pay Groups- COR only Just Payroll or Payroll+HR","One-Time (Fixed)","N/A","Fixed","251","500","N/A","$800.00","N/A","N/A","N/A","First Notes: Pay Groups- COR only Just Payroll or Payroll+HR","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 10 of 413"
